Title,Release Date,Language,Vote Average,Popularity
Urvi,17-03-2017,Kannada,7.6,0.1508
Tarak,29-09-2017,Kannada,6.4,0.1369
Saheba,25-08-2017,Kannada,7,0.1497
A Gunny Sack for an Umbrella,01-01-2017,Kannada,0,0.1022
Dandupalya 2,14-07-2017,Kannada,10,0.1981
Mufti,01-12-2017,Kannada,8.3,0.1431
Paddayi,25-11-2017,Kannada,6,0.2186
Chakravarthy,10-03-2017,Kannada,7.6,0.0697
Shwethaa,21-07-2017,Kannada,0,0.1496
Athiratha,24-11-2017,Kannada,4,0.1136
Chamak,29-12-2017,Kannada,6.2,0.0953
Happy New Year,05-05-2017,Kannada,0,0.1189
Kariya 2,13-10-2017,Kannada,10,0.1313
Kataka,13-10-2017,Kannada,4,0.1071
Rajahamsa,08-09-2017,Kannada,0,0.1023
Ondu Motteya Kathe,07-07-2017,Kannada,7.1,0.0951
Dayavittu Gamanisi,20-10-2017,Kannada,5,0.1106
Beautiful Manasugalu,20-01-2017,Kannada,5.5,0.0835
Srikanta,06-01-2017,Kannada,0,0.1241
College Kumar,10-11-2017,Kannada,5.7,0.1511
Mantram,01-12-2017,Kannada,0,0.0707
Operation Alamelamma,21-07-2017,Kannada,8.3,0.0711
Lee,13-01-2017,Kannada,0,0.0561
Crony,27-08-2017,Kannada,0,0.0877
Sathya Harishchandra,20-10-2017,Kannada,0,0.0639
Gowdru Hotel,01-12-2017,Kannada,0,0.0585
Darpana,08-09-2017,Kannada,0,0.0633
Raaga,21-04-2017,Kannada,0,0.0676
Allama,20-07-2017,Kannada,0,0.0646
Shuddhi,17-03-2017,Kannada,7.3,0.055
Mumbai,26-01-2017,Kannada,6,0.0758
Sandpaper,01-09-2017,Kannada,10,0.0416
Veera Ranachandi,10-03-2017,Kannada,0,0.0404
Kaal Kg Preethi,03-03-2017,Kannada,1,0.4738
Siliconn City,16-06-2017,Kannada,0,0.0214
Noorondu Nenapu,09-06-2017,Kannada,0,0.0357
Sarvasva,27-10-2017,Kannada,0,0.0256
Bharjari,15-09-2017,Kannada,9,0.0239
Hombanna,07-07-2017,Kannada,8.5,0.0071
K.G.F: Chapter 1,20-12-2018,Kannada,7.4,3.4453
Dandupalya 3,02-02-2018,Kannada,0,0.4703
Brihaspathi,05-01-2018,Kannada,0,0.2835
Tagaru,23-02-2018,Kannada,7.1,0.2762
The Villain,31-05-2018,Kannada,5.7,0.3817
Naduve Antaravirali,31-08-2018,Kannada,0,0.2644
Humble Politician Nograj,12-01-2018,Kannada,5.5,0.2733
Nathicharami,28-12-2018,Kannada,7.4,0.1959
Rajaratha,23-03-2018,Kannada,6.2,0.198
Sarkari. Hi. Pra. Shale Kasaragodu,23-08-2018,Kannada,7.7,0.2466
Loudspeaker,10-08-2018,Kannada,0,0.1656
8MM Bullet,16-11-2018,Kannada,1,0.1652
Shivu Paru,08-06-2018,Kannada,0,1.4791
Raju Kannada Medium,19-01-2018,Kannada,6.2,0.1449
Samhaara,09-02-2018,Kannada,5,0.1492
Aa Karaala Ratri,13-07-2018,Kannada,5.6,0.1365
Rajasimha,02-02-2018,Kannada,0,0.1793
